taxon	worms_id	worms_scientific_name	worms_is_terrestrial	worms_is_freshwater	worms_is_brackish	worms_is_marine	worms_lsid	worms_url
Conus boschi Clover, 1972	429030	Conus boschi				True	urn:lsid:marinespecies.org:taxname:429030	http://www.marinespecies.org/aphia.php?p=taxdetails&id=429030
Gonodactylus falcatus (Forskäl, 1775)	210240	Gonodactylus falcatus	False	False	False	True	urn:lsid:marinespecies.org:taxname:210240	http://www.marinespecies.org/aphia.php?p=taxdetails&id=210240
Volvarina verdensis (E. A. Smith, 1875)	224671	Volvarina verdensis				True	urn:lsid:marinespecies.org:taxname:224671	http://www.marinespecies.org/aphia.php?p=taxdetails&id=224671
Portunus hastatus  (LLinnaeus, 1767)	1061747	Portunus hastatus				True	urn:lsid:marinespecies.org:taxname:1061747	http://www.marinespecies.org/aphia.php?p=taxdetails&id=1061747
Amphipoda sp.1056	1135	Amphipoda	True	True	True	True	urn:lsid:marinespecies.org:taxname:1135	http://www.marinespecies.org/aphia.php?p=taxdetails&id=1135
Bulla aperta Linnaeus, 1767	574577	Bulla aperta				True	urn:lsid:marinespecies.org:taxname:574577	http://www.marinespecies.org/aphia.php?p=taxdetails&id=574577
Coryne vaginata (Hincks, 1868)	292185	Coryne vaginata				True	urn:lsid:marinespecies.org:taxname:292185	http://www.marinespecies.org/aphia.php?p=taxdetails&id=292185
Rissoa frauenfeldiana Brusina, 1868	141350	Rissoa frauenfeldiana				True	urn:lsid:marinespecies.org:taxname:141350	http://www.marinespecies.org/aphia.php?p=taxdetails&id=141350
Decapoda sp.	1130	Decapoda	True	True	True	True	urn:lsid:marinespecies.org:taxname:1130	http://www.marinespecies.org/aphia.php?p=taxdetails&id=1130
Pontocypris intermedia Brady, 1868	128438	Pontocypris intermedia	False			True	urn:lsid:marinespecies.org:taxname:128438	http://www.marinespecies.org/aphia.php?p=taxdetails&id=128438
Hilsa kelee (Cuvier, 1829)	212278	Hilsa kelee	False	True	True	True	urn:lsid:marinespecies.org:taxname:212278	http://www.marinespecies.org/aphia.php?p=taxdetails&id=212278
Purpura aegrota Reeve, 1846	396667	Purpura aegrota				True	urn:lsid:marinespecies.org:taxname:396667	http://www.marinespecies.org/aphia.php?p=taxdetails&id=396667
Epitonium sp.	137943	Epitonium				True	urn:lsid:marinespecies.org:taxname:137943	http://www.marinespecies.org/aphia.php?p=taxdetails&id=137943
Calliostoma striatum (Linnaeus, 1758)	224514	Calliostoma striatum				True	urn:lsid:marinespecies.org:taxname:224514	http://www.marinespecies.org/aphia.php?p=taxdetails&id=224514
Donax variegatus (Gmelin, 1791)	152220	Donax variegatus				True	urn:lsid:marinespecies.org:taxname:152220	http://www.marinespecies.org/aphia.php?p=taxdetails&id=152220
